Base,Quote,Bid,Ask,Last
USD,DZD,114.2939,115.5434,114.8873
AUD,USD,0.756,0.761,0.757
USD,BHD,0.375,0.377,0.376
USD,BWP,0.1021,0.1026,0.1023
USD,BRL,3.4646,3.4883,3.4805
USD,BND,1.3212,1.3293,1.3238
USD,CAD,1.2798,1.2892,1.2836
USD,CLP,603.74,606.79,605.74
USD,CNY,6.3171,6.3522,6.3407
USD,COP,2800.77,2817.82,2806.28
USD,CZK,21.041,21.167,21.144
USD,DKK,6.1558,6.1971,6.1678
EUR,USD,1.2076,1.2086,1.2079
USD,HUF,258.29,260.17,258.96
USD,ISK,100.54,101.43,101.03
USD,INR,66.499,66.9002,66.7801
USD,IDR,13853,13894,13877
USD,IRR,41743,41928,41811
USD,ILS,3.575,3.591,3.588
USD,JPY,108.8,109.84,109.31
USD,KZT,326.19,328.29,327.25
USD,KRW,1071.6,1078.5,1076.2
USD,KWD,0.2993,0.3013,0.3008
USD,LYD,1.9264,1.942,1.9324
USD,MYR,3.904,3.9379,3.9195
USD,MUR,34.13745,34.2621,34.18045
USD,MXN,18.7508,18.7933,18.7878
USD,NPR,106.22,106.71,106.66
NZD,USD,0.7057,0.7086,0.7079
USD,NOK,7.988,8.025,7.999
USD,PKR,115.5796,116.1495,115.6075
USD,UYU,28.549,28.689,28.596
USD,PHP,51.797,51.972,51.965
USD,PLN,3.4801,3.4923,3.4868
USD,QAR,3.62,3.66,3.64
USD,OMR,0.3844,0.3853,0.3845
USD,RUB,61.817,62.2851,61.9997
USD,SAR,3.74,3.76,3.75
USD,SGD,1.3235,1.3276,1.3238
USD,ZAR,12.41575,12.43597,12.43145
USD,LKR,157.2749,157.7056,157.6459
USD,SEK,8.6652,8.6822,8.6774
USD,CHF,0.9873,0.9921,0.9894
USD,THB,31.45,31.65,31.51
USD,TTD,6.7189,6.7431,6.7393
USD,TND,2.4248,2.4375,2.4319
USD,AED,3.6667,3.6795,3.6725
GBP,USD,1.3701,1.373,1.3725
GBP,JPY,149.07,150.81,149.94
EUR,JPY,131.39,132.75,132.07
EUR,CAD,1.5454,1.5581,1.55175
GBP,CAD,1.7534,1.77,1.7617
